year,cap_percent,passing_percentage,passing_yards_per_attempt,games,passing_yards_per_game,rushing_yards_per_game,passing_tds_per_game,rushing_tds_per_game,sacks_per_game,turnovers_per_game
2009,8.049,58.3,6.5,14,208.28571428571428,3.5,1.5714285714285714,0.07142857142857142,1.3571428571428572,1.1428571428571428
2009,8.333,67.9,8.2,16,298.125,3.5625,1.8125,0,1.5625,1.0625
2009,2.52,53.3,6,10,226.7,10.8,1.3,0.2,2.4,2.1
2009,17.236,68.8,7.9,16,281.25,-0.8125,2.0625,0,0.625,1
2009,9.378,65.2,8.8,16,265.875,3.125,1.75,0.0625,1.5625,0.75
2009,1.797,55.9,6.3,10,142.2,14.1,0.9,0.1,2.1,1.2
2009,11.886,65.7,7.8,16,274.875,2.75,1.75,0.0625,1,0.9375
2009,3.726,63.1,8.2,16,280.1875,6.5625,1.625,0.0625,2.125,0.8125
2011,6.438,68.3,9.2,15,309.53333333333336,17.133333333333333,3,0.2,2.4,0.4
2011,4.071,61.3,7.1,16,196.5,11.1875,1.0625,0.125,2.75,0.4375
2011,0.788,58.1,6.6,16,212.375,9.5,1.25,0.0625,1.5,0.9375
2011,9.404,63.2,7.9,15,271.8,4.666666666666667,1.4,0,2.6666666666666665,1.2666666666666666
2011,1.813,50.8,5.4,15,147.6,6.533333333333333,0.8,0,2.6666666666666665,1.0666666666666667
2011,3.327,60,7.8,16,253.1875,44.125,1.3125,0.875,2.1875,1.1875
2011,2.077,60.7,8.4,10,275.3,2,1.3,0.1,1.7,1.7
2011,1.534,54.3,6.4,11,168.45454545454547,19.90909090909091,1.1818181818181819,0,2.727272727272727,1.3636363636363635
2011,0.53,57.2,5.9,13,210.23076923076923,16.307692307692307,1.0769230769230769,0,2.4615384615384617,1
2011,12.445,71.2,8.3,16,342.25,5.375,2.875,0.0625,1.5,0.9375
2011,11.713,61,8.4,16,308.3125,0.9375,1.8125,0.0625,1.75,1.25
2011,7.892,58,7.4,10,231.9,5.5,1.3,0.1,2.3,1
2011,4.756,57.6,6.7,16,225.625,5.5,1.25,0.0625,1.9375,1.125
2011,1.886,62.8,6.5,15,239.46666666666667,15.866666666666667,1.0666666666666667,0.26666666666666666,1.9333333333333333,1.8
2011,14.312,56.7,6.4,16,217.125,6.4375,1.625,0.375,2.4375,1.625
2011,4.154,61.6,6.9,16,223.1875,3.25,1.125,0,1.1875,0.9375
2011,2.285,60.5,7.2,13,192.07692307692307,5,1.2307692307692308,0.15384615384615385,2.769230769230769,1.1538461538461537
2011,11.007,61.3,7.4,16,261.0625,5.25,1.8125,0.125,1.625,0.9375
2011,7.477,61,8.5,10,247.9,0.9,1.5,0.2,1.6,0.7
2011,5.087,63.5,7.6,16,314.875,4.875,2.5625,0,2.25,1.0625
2011,11.963,59.8,7.8,13,254.07692307692307,45.30769230769231,1.3846153846153846,0.07692307692307693,1.7692307692307692,1.3846153846153846
2011,11.223,62.9,7.9,16,289,2.25,1.6875,0.0625,1.875,1.5625
2011,4.66,62,6.7,16,239.5,13.4375,1.5,0,1.375,1.5625
2011,10.355,53.5,6.1,10,216.4,2.6,0.6,0,3.6,1.3
2011,10.966,65.6,8.6,16,327.1875,6.8125,2.4375,0.1875,2,0.875
2011,5.325,66.3,8,16,261.5,2.875,1.9375,0.0625,2.25,0.8125
2012,7.048,67.2,7.8,16,268.4375,16.1875,2.4375,0.125,3.1875,0.75
2012,7.67,70.2,8,10,173.7,13.2,1.3,0,2.4,0.6
2012,3.333,54.1,7,16,273.375,15.9375,1.4375,0.3125,2.5625,1.4375
2012,0.983,62.3,6.9,16,229.3125,7.5,1.6875,0.25,2.875,1.25
2012,7.376,63.3,7.3,13,251.15384615384616,7.076923076923077,2,0,2.3076923076923075,0.8461538461538461
2012,2.262,58.3,6,10,166.2,5.6,0.9,0,2.2,0.9
2012,1.219,57.4,6.5,15,225.66666666666666,7.4,0.9333333333333333,0,1.8666666666666667,1.2
2012,4.151,57.7,8,16,241.8125,46.3125,1.1875,0.5,2.25,0.9375
2012,2.62,61.1,7.1,15,267.8666666666667,2.4,1.4666666666666666,0.06666666666666667,1.7333333333333334,1.2666666666666666
2012,2.156,53.9,6.8,10,208.4,6.4,1.1,0.1,2.8,1.3
2012,1.914,62.1,6.1,16,183.4375,15.8125,1.125,0.125,2,1.0625
2012,0.966,62.4,8.3,13,139.53846153846155,31.923076923076923,0.7692307692307693,0.38461538461538464,1.2307692307692308,0.38461538461538464
2012,8.624,63,7.7,16,323.5625,0.3125,2.6875,0.0625,1.625,1.25
2012,7.96,59.9,7.4,16,246.75,1.875,1.625,0,1.1875,1
2012,2.372,56.4,6.9,11,197.8181818181818,26.454545454545453,0.9090909090909091,0.09090909090909091,2.272727272727273,1.3636363636363635
2012,7.96,58.8,7,15,202.2,15.533333333333333,1.2666666666666666,0,2.533333333333333,1.2
2012,6.633,59.7,7.2,16,238.5625,1.375,1.375,0.1875,2.1875,0.875
2012,6.563,54.8,7.3,16,254.0625,8.6875,1.6875,0,1.625,1.1875
2012,6.512,54.3,6.4,15,192.2,1.8666666666666667,0.8666666666666667,0,2.2666666666666666,1.7333333333333334
2012,11.194,68.6,7.7,16,294.9375,8.8125,2,0.0625,1.75,1
2012,9.701,64.3,7.4,16,250.5,-0.5625,1.375,0,1.6875,0.75
2012,7.409,59.8,6.8,16,310.4375,7.875,1.25,0.25,1.8125,1.3125
2012,11.526,58.1,6.7,10,236.2,33.2,1.2,0.1,2.8,1.5
2012,14.925,68.6,8,16,291.1875,0.375,2.3125,0,1.3125,0.8125
2012,12.695,64.1,6.8,16,225.375,2.5,1.625,0,3.0625,1.375
2012,3.184,65.6,8.1,15,213.33333333333334,54.333333333333336,1.3333333333333333,0.4666666666666667,2,0.4666666666666667
2012,0.452,64.1,7.9,16,194.875,30.5625,1.625,0.25,2.0625,0.8125
2012,4.975,60.6,6.7,16,212.5,12.3125,1.5,0.0625,1.875,1.375
2012,1.91,58.3,6.8,16,205.875,13.1875,0.75,0.125,2.1875,1.0625
2012,12.931,59.5,6.7,16,231.375,7.75,1.3125,0.0625,2.1875,0.875
2012,6.633,63,7.6,16,301.6875,2,2.125,0.25,1.6875,0.5
2012,6.684,65.6,7.6,16,306.4375,3.0625,1.75,0.0625,2.25,1.375
2013,6.877,60.6,6.5,15,220.86666666666667,28.733333333333334,1.5333333333333334,0.06666666666666667,2.6,0.6666666666666666
2013,4.065,60.2,6.7,16,238.875,23.5625,1.4375,0.25,2,0.6875
2013,1.151,61.9,7.3,16,268.3125,11.4375,2.0625,0.125,1.8125,1.4375
2013,10.999,64.2,7.3,16,266.3125,6.1875,1.75,0.0625,2.625,1.25
2013,4.86,61.7,7.1,16,211.1875,36.5625,1.5,0.375,2.6875,0.875
2013,3.236,63.3,7.5,16,267.125,0.1875,1.5,0,2.5625,1.5625
2013,3.762,60.6,6.4,15,216.06666666666666,5.133333333333334,0.8666666666666667,0,2.533333333333333,0.9333333333333333
2013,1.131,58.4,7.7,16,199.8125,32.75,1.3125,0.25,2.4375,0.75
2013,14.078,68.6,7.9,16,322.625,3.25,2.4375,0.1875,2.3125,0.875
2013,1.307,58.8,6.4,10,197.2,18.6,1.1,0.2,2.8,1.2
